Segment,Ship Mode,OrderID,Sales
Consumer,First Class,CA-2011-103366,149.95
Consumer,First Class,CA-2011-109043,243.6
Consumer,First Class,CA-2011-113166,9.568
Consumer,First Class,CA-2011-124023,8.96
Consumer,First Class,CA-2011-130155,34.2
Consumer,First Class,CA-2011-136861,31.984
Consumer,First Class,CA-2011-153927,286.65
Consumer,First Class,CA-2011-157784,514.03
Consumer,First Class,CA-2011-160094,1000.95
Consumer,First Class,CA-2011-164749,9.912
Consumer,First Class,CA-2011-166730,39.128
Consumer,First Class,CA-2012-102722,106.5
Consumer,First Class,CA-2012-102778,18.176
Consumer,First Class,CA-2012-117828,194.32
Consumer,First Class,CA-2012-130218,59.48
Consumer,First Class,CA-2012-132318,182.91
Consumer,First Class,CA-2012-137974,2298.9
Consumer,First Class,CA-2012-138625,197.72
Consumer,First Class,CA-2012-141327,440.144
Consumer,First Class,CA-2012-149300,32.985
Consumer,First Class,CA-2012-150560,196.62
Consumer,First Class,CA-2012-165414,47.976
Consumer,First Class,CA-2013-102092,1056.86
Consumer,First Class,CA-2013-102498,73.2
Consumer,First Class,CA-2013-110492,1366.04
Consumer,First Class,CA-2013-119515,15.552
Consumer,First Class,CA-2013-119823,75.88
Consumer,First Class,CA-2013-124772,191.82
Consumer,First Class,CA-2013-125843,125.92
Consumer,First Class,CA-2013-130442,34.944
Consumer,First Class,CA-2013-133872,58.4
Consumer,First Class,CA-2013-145247,79.14
Consumer,First Class,CA-2013-145499,3.282
Consumer,First Class,CA-2013-147368,695.7
Consumer,First Class,CA-2013-157280,1120.73
Consumer,First Class,CA-2013-157364,18.48
Consumer,First Class,CA-2013-164784,377.346
Consumer,First Class,CA-2014-103212,1541.51
Consumer,First Class,CA-2014-105620,141
Consumer,First Class,CA-2014-108287,12.672
Consumer,First Class,CA-2014-109589,71
Consumer,First Class,CA-2014-110198,318.96
Consumer,First Class,CA-2014-112774,34.504
Consumer,First Class,CA-2014-115448,88.92
Consumer,First Class,CA-2014-121314,251.64
Consumer,First Class,CA-2014-121818,52.696
Consumer,First Class,CA-2014-122154,284.19
Consumer,First Class,CA-2014-122994,359.97
Consumer,First Class,CA-2014-125472,253.86
Consumer,First Class,CA-2014-126774,4.89
Consumer,First Class,CA-2014-133235,271.96
Consumer,First Class,CA-2014-138779,29.664
Consumer,First Class,CA-2014-143756,701.96
Consumer,First Class,CA-2014-151218,4.464
Consumer,First Class,CA-2014-156769,54.66
Consumer,First Class,CA-2014-158729,1665.62
Consumer,First Class,CA-2014-158967,19.104
Consumer,First Class,CA-2014-161053,726.91
Consumer,First Class,CA-2014-162635,10.816
Consumer,First Class,CA-2014-163335,79
Consumer,First Class,US-2011-130358,23.12
Consumer,First Class,US-2012-106495,11.672
Consumer,First Class,US-2013-106600,354.9
Consumer,First Class,US-2013-113649,645.136
Consumer,First Class,US-2013-116400,39.92
Consumer,First Class,US-2013-119298,59.98
Consumer,First Class,US-2013-131891,2.214
Consumer,First Class,US-2013-162677,187.616
Consumer,First Class,US-2013-167472,678.87
Consumer,First Class,US-2014-108063,34.65
Consumer,First Class,US-2014-133781,37.608
Consumer,First Class,US-2014-148831,348.56
Consumer,First Class,Grand Total,20802.173
Consumer,Same Day,CA-2011-113047,11.85
Consumer,Same Day,CA-2011-116239,354.9
Consumer,Same Day,CA-2011-130428,1142.165
Consumer,Same Day,CA-2011-131541,193.152
Consumer,Same Day,CA-2011-142951,23.472
Consumer,Same Day,CA-2011-152254,310.688
Consumer,Same Day,CA-2012-117884,598.352
Consumer,Same Day,CA-2012-136224,10.272
Consumer,Same Day,CA-2012-155068,78.456
Consumer,Same Day,CA-2013-101378,29
Consumer,Same Day,CA-2013-105256,1363.96
Consumer,Same Day,CA-2013-106894,107.83
Consumer,Same Day,CA-2013-127698,863.928
Consumer,Same Day,CA-2013-143308,10.74
Consumer,Same Day,CA-2013-144344,314.393
Consumer,Same Day,CA-2013-152163,85.5
Consumer,Same Day,CA-2013-152471,839.944
Consumer,Same Day,CA-2013-159653,14.73
Consumer,Same Day,CA-2014-103065,59.824
Consumer,Same Day,CA-2014-122987,80.564
Consumer,Same Day,CA-2014-144498,817.829
Consumer,Same Day,CA-2014-158883,25.344
Consumer,Same Day,US-2011-114377,149.9
Consumer,Same Day,US-2013-134761,36.192
Consumer,Same Day,US-2013-148803,85.224
Consumer,Same Day,US-2013-156692,89.32
Consumer,Same Day,US-2014-120607,195.64
Consumer,Same Day,US-2014-152492,239.24
Consumer,Same Day,Grand Total,8132.409
Consumer,Second Class,CA-2011-100706,129.44
Consumer,Second Class,CA-2011-101266,13.36
Consumer,Second Class,CA-2011-109232,545.94
Consumer,Second Class,CA-2011-110422,25.248
Consumer,Second Class,CA-2011-115357,62.91
Consumer,Second Class,CA-2011-120768,1979.89
Consumer,Second Class,CA-2011-123925,40.05
Consumer,Second Class,CA-2011-124618,479.984
Consumer,Second Class,CA-2011-127488,4.608
Consumer,Second Class,CA-2011-130918,7.632
Consumer,Second Class,CA-2011-132612,1441.3
Consumer,Second Class,CA-2011-142727,69.9
Consumer,Second Class,CA-2011-145576,26.128
Consumer,Second Class,CA-2011-154158,619.848
Consumer,Second Class,CA-2011-155852,19.456
Consumer,Second Class,CA-2011-156006,47.79
Consumer,Second Class,CA-2011-156790,155.456
Consumer,Second Class,CA-2011-158470,129.33
Consumer,Second Class,CA-2011-166457,40.54
Consumer,Second Class,CA-2011-169775,709.0425
Consumer,Second Class,CA-2012-109386,750.93
Consumer,Second Class,CA-2012-110345,4.608
Consumer,Second Class,CA-2012-116638,4297.644
Consumer,Second Class,CA-2012-128027,269.49
Consumer,Second Class,CA-2012-134257,498.93
Consumer,Second Class,CA-2012-150749,5.56
Consumer,Second Class,CA-2012-153325,58.72
Consumer,Second Class,CA-2012-153752,173.94
Consumer,Second Class,CA-2012-155600,1635.018
Consumer,Second Class,CA-2012-169733,9.952
Consumer,Second Class,CA-2013-101525,140.52
Consumer,Second Class,CA-2013-109722,1284.8
Consumer,Second Class,CA-2013-113292,871.8
Consumer,Second Class,CA-2013-116918,36.364
Consumer,Second Class,CA-2013-120873,290.98
Consumer,Second Class,CA-2013-123176,31.83
Consumer,Second Class,CA-2013-131065,513.52
Consumer,Second Class,CA-2013-136231,228.586
Consumer,Second Class,CA-2013-137043,859.14
Consumer,Second Class,CA-2013-140543,191.88
Consumer,Second Class,CA-2013-141180,7.764
Consumer,Second Class,CA-2013-149783,131.104
Consumer,Second Class,CA-2013-149979,487.22
Consumer,Second Class,CA-2013-152156,993.9
Consumer,Second Class,CA-2013-154690,225.296
Consumer,Second Class,CA-2013-155670,21.504
Consumer,Second Class,CA-2013-158841,8805.04
Consumer,Second Class,CA-2013-159765,27.86
Consumer,Second Class,CA-2013-162355,1302.83
Consumer,Second Class,CA-2013-164735,81.2
Consumer,Second Class,CA-2013-168753,1002.7
Consumer,Second Class,CA-2013-168893,903.77
Consumer,Second Class,CA-2013-169334,111.672
Consumer,Second Class,CA-2014-101210,13.152
Consumer,Second Class,CA-2014-101273,14.336
Consumer,Second Class,CA-2014-101483,61.216
Consumer,Second Class,CA-2014-102309,212.91
Consumer,Second Class,CA-2014-107209,194.848
